Sr No.,ISO3,Country,Continent,Hemisphere,1990,1995,2000,2005,2010,2013,2018,Total CO2 Emissions
136,KNA,Saint Kitts and Nevis,America,Northern Hemisphere,4.77,5.47,5.95,6.57,7.01,8.04,7.03,44.839999999999996
137,LCA,Saint Lucia,America,Northern Hemisphere,5.74,6.85,6.5,6.5,6.5,6.44,4.05,42.58
138,VCT,Saint Vincent and the Grenadines,America,Northern Hemisphere,1.41,1.9,2.09,2.64,2.65,2.53,3.32,16.54
139,WSM,Samoa,Australia,Southern Hemisphere,2.17,2.13,2.28,2.39,2.54,2.67,3.52,17.700000000000003
140,STP,São Tomé and Príncipe,Africa,Northern Hemisphere,0.83,0.85,0.77,0.9,0.96,1.01,0.92,6.24
141,SAU,Saudi Arabia,Asia,Northern Hemisphere,11.49,13.29,13.39,14.67,17.69,18.26,18.94,107.73
142,SEN,Senegal,Africa,Northern Hemisphere,1.75,1.69,1.84,1.88,1.89,1.8,1.89,12.740000000000002
143,SRB,Serbia,Europe,Northern Hemisphere,6.556168831168831,,,,6.54,6.62,8.96,28.676168831168834
144,SYC,Seychelles,Africa,Southern Hemisphere,2.94,3.38,7.86,8.45,8.28,7.65,8.02,46.58
145,SLE,Sierra Leone,Africa,Northern Hemisphere,0.89,0.87,0.73,0.8,0.83,0.97,0.94,6.029999999999999
146,SGP,Singapore,Asia,Northern Hemisphere,10.28,11.82,11.88,9.48,9.84,9.88,11.82,75.00000000000001
147,SVK,Slovakia,Europe,Northern Hemisphere,6.556168831168831,9.36,8.48,8.68,7.9,7.43,7.33,55.736168831168825
148,SVN,Slovenia,Europe,Northern Hemisphere,6.556168831168831,8.92,9.01,9.67,9.3,8.72,8.28,60.45616883116884
149,SLB,Solomon Islands,Australia,Southern Hemisphere,1.11,1.03,0.99,0.98,1.01,0.99,1.44,7.549999999999999
150,ZAF,South Africa,Africa,Southern Hemisphere,8.18,7.77,7.71,9.23,9.5,9.49,8.88,60.760000000000005
151,KOR,South Korea,Asia,Northern Hemisphere,6.77,9.45,10.77,11.24,13.02,13.43,13.93,78.61000000000001
152,ESP,Spain,Europe,Northern Hemisphere,6.91,7.54,8.99,9.62,7.27,6.57,6.99,53.89
153,LKA,Sri Lanka,Asia,Northern Hemisphere,1.3,1.38,1.64,1.8,1.79,1.87,1.63,11.41
